Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_101,VGND,li1,54.7400,21.7600,0.000017
FILLER_4_89,VGND,li1,49.2200,21.7600,0.000015
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000012
FILLER_4_73,VGND,li1,39.3300,21.7600,0.000011
FILLER_4_65,VGND,li1,37.2600,21.7600,0.000010
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000007
FILLER_4_37,VGND,li1,22.7700,21.7600,0.000004
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000004
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000004
FILLER_4_7,VGND,li1,8.9700,21.7600,0.000004
FILLER_4_3,VGND,li1,7.8200,21.7600,0.000004
FILLER_3_169,VGND,li1,83.9500,21.7600,0.000025
FILLER_3_126,VGND,li1,64.1700,21.7600,0.000021
FILLER_3_113,VGND,li1,58.4200,21.7600,0.000018
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000018
FILLER_3_97,VGND,li1,50.6000,21.7600,0.000015
FILLER_3_87,VGND,li1,45.7700,21.7600,0.000013
FILLER_3_81,VGND,li1,44.1600,21.7600,0.000012
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000011
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000009
FILLER_3_44,VGND,li1,28.5200,21.7600,0.000006
FILLER_3_34,VGND,li1,21.8500,21.7600,0.000004
FILLER_3_27,VGND,li1,18.4000,21.7600,0.000004
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000004
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000004
FILLER_2_157,VGND,li1,77.9700,16.3200,0.000087
FILLER_2_151,VGND,li1,76.3600,16.3200,0.000087
FILLER_2_141,VGND,li1,71.7600,16.3200,0.000084
FILLER_2_139,VGND,li1,69.6900,16.3200,0.000083
FILLER_2_135,VGND,li1,67.8500,16.3200,0.000082
FILLER_2_123,VGND,li1,64.8600,16.3200,0.000080
FILLER_2_96,VGND,li1,50.3700,16.3200,0.000067
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000056
FILLER_2_79,VGND,li1,42.7800,16.3200,0.000056
FILLER_2_63,VGND,li1,35.8800,16.3200,0.000045
FILLER_2_29,VGND,li1,19.5500,16.3200,0.000025
